[vis1_Kcomplexes/CZ-A1]
  109.8918	    1.0873
  161.4935	    1.3037
  377.9870	    1.2171
  383.0519	    1.1738
  396.9913	    1.0007
  400.8009	    1.0440
  462.8788	    1.1738
  498.9827	    1.0440
  546.9913	    0.9141
  578.9827	    0.9141
  600.1082	    1.0007
  631.3636	    1.0007
  656.0823	    1.3470
  666.5584	    1.0440
  679.5022	    0.9574
  684.1775	    1.5202
  688.0303	    1.3903
  730.1082	    1.3903
  791.2771	    1.2604
  826.2554	    1.2604
  833.3117	    1.3470
  894.0909	    1.3037
  903.2684	    1.6500
  917.6407	    1.4769
  967.6840	    1.1738
  978.2035	    1.2171
  982.0996	    1.1738
 1683.7879	    1.1738
